飞行实验日记
1.任务：关闭遥控器，测试our_take_off(); our_mission_height_control(); our_landing();
2.设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 18000 
3.现象： 飞机起飞成功，our_mission_height_control();测试成功，但反馈量与设定量之间有10cm余差，推测是因为返回的数据是tof测得，反馈的数据是fus融合数据导致的。
4.issue： 飞行高度变换很快，建议改小PID.Kp值；延迟时间有误，原因未知。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
1 1 2 0 665 0
1 1 2 0 679 0
1 1 2 0 689 0
1 1 2 0 691 0
1 1 2 0 696 0
1 1 2 0 702 0
1 1 2 0 699 0
1 1 2 0 697 0
1 1 2 0 685 0
1 1 2 0 679 0
1 1 2 0 683 0
1 1 2 0 687 0
1 1 2 0 691 0
1 1 2 0 680 0
1 1 2 0 660 0
1 1 2 0 630 0
1 1 2 0 612 0
1 1 2 0 594 0
1 1 2 0 604 0
1 1 2 0 616 0
1 1 2 0 617 0
1 1 2 0 627 0
1 1 2 0 615 0
1 1 2 0 615 0
1 1 2 0 622 0
1 1 2 0 617 0
1 1 2 0 633 0
1 1 2 0 641 0
1 1 2 0 638 0
1 1 2 0 634 0
1 1 2 0 634 0
1 1 2 0 648 0
1 1 2 0 632 0
1 1 2 0 627 0
1 1 2 0 624 0
1 1 2 0 604 0
1 1 2 0 627 0
1 1 2 0 636 0
1 1 2 0 641 0
1 1 2 0 634 0
1 1 2 0 616 0
1 1 2 0 604 0
1 1 2 0 584 0
1 1 2 0 586 0
1 1 2 0 587 0
1 1 2 0 589 0
1 1 2 0 606 0
1 1 2 0 607 0
1 1 2 0 597 0
1 1 2 0 588 0
1 1 2 0 588 0
1 1 2 0 584 0
1 1 2 0 591 0
1 1 2 0 596 0
1 1 2 0 587 0
1 1 2 0 586 0
1 1 2 0 572 0
1 1 2 0 567 0
1 1 2 0 578 0
1 1 2 0 569 0
1 1 2 0 577 0
1 1 2 0 573 0
1 1 2 0 584 0
1 1 2 0 596 0
1 1 2 0 599 0
1 1 2 0 612 0
1 1 2 0 629 0
1 1 2 0 651 0
1 1 2 0 651 0
1 1 2 0 638 0
1 1 2 0 629 0
1 1 2 0 615 0
1 1 2 0 619 0
1 1 2 0 622 0
1 1 2 0 633 0
1 1 2 0 630 0
1 1 2 0 632 0
1 1 2 0 628 0
1 1 2 0 636 0
1 1 2 0 616 0
1 1 2 0 613 0
1 1 2 0 618 0
1 1 2 0 630 0
1 1 2 0 646 0
1 1 2 0 674 0
1 1 2 0 677 0
1 1 2 0 668 0
1 1 2 0 676 0
1 1 2 0 664 0
1 1 2 0 671 0
1 1 2 0 696 0
1 1 2 0 698 0
1 1 2 0 717 0
1 1 2 0 729 0
1 1 2 0 741 0
1 1 2 0 740 0
1 1 2 0 746 0
1 1 2 0 722 0
1 1 2 0 722 0
1 1 2 0 708 0
1 1 2 0 698 0
1 1 2 0 689 0
1 1 2 0 669 0
1 1 2 0 669 0
1 1 2 0 682 0
1 1 2 0 671 0
1 1 2 0 677 0
1 1 2 0 646 0
1 1 2 0 638 0
1 1 2 0 626 0
1 1 2 0 627 0
1 1 2 0 622 0
1 1 2 0 635 0
1 1 2 0 657 0
1 1 2 0 670 0
1 1 2 0 661 0
1 1 2 0 649 0
1 1 2 0 608 0
1 1 2 0 589 0
1 1 2 0 576 0
1 1 2 0 594 0
1 1 2 0 613 0
1 1 2 0 623 0
1 1 2 0 609 0
1 1 2 0 589 0
1 1 2 0 566 0
1 1 2 0 535 0
1 1 2 0 506 0
1 1 2 0 505 0
1 1 2 0 518 0
1 1 2 0 546 0
1 1 2 0 560 0
1 1 2 0 570 0
1 1 2 0 566 0
1 1 2 0 558 0
1 1 2 0 555 0
1 1 2 0 563 0
1 1 2 0 574 0
1 1 2 0 571 0
1 1 2 0 581 0
1 1 2 0 608 0
1 1 2 0 606 0
1 1 2 0 608 0
1 1 2 0 595 0
1 1 2 0 587 0
1 1 2 0 618 0
1 1 2 0 657 0
1 1 2 0 679 0
1 1 2 0 685 0
1 1 2 0 679 0
1 1 2 0 654 0
1 1 2 0 634 0
1 1 2 0 630 0
1 1 2 0 635 0
1 1 2 0 654 0
1 1 2 0 655 0
1 1 2 0 665 0
1 1 2 0 656 0
1 1 2 0 652 0
1 1 2 0 652 0
1 1 2 0 793 0
1 1 2 0 990 0
1 1 2 0 1144 0
1 1 2 0 1184 0
1 1 2 0 1159 0
1 1 2 0 1111 0
1 1 2 0 1057 0
1 1 2 0 1015 0
1 1 2 0 1020 0
1 1 2 0 1017 0
1 1 2 0 1046 0
1 1 2 0 1041 0
1 1 2 0 1081 0
1 1 2 0 1069 0
1 1 2 0 1079 0
1 1 2 0 1053 0
1 1 2 0 1064 0
1 1 2 0 1076 0
1 1 2 0 1099 0
1 1 2 0 1108 0
1 1 2 0 1129 0
1 1 2 0 1148 0
1 1 2 0 1150 0
1 1 2 0 1131 0
1 1 2 0 1118 0
1 1 2 0 1105 0
1 1 2 0 1112 0
1 1 2 0 1121 0
1 1 2 0 1125 0
1 1 2 0 1126 0
1 1 2 0 1141 0
1 1 2 0 1124 0
1 1 2 0 1113 0
1 1 2 0 1149 0
1 1 2 0 1142 0
1 1 2 0 1120 0
1 1 2 0 1126 0
1 1 2 0 1167 0
1 1 2 0 1159 0
1 1 2 0 1129 0
1 1 2 0 1145 0
1 1 2 0 1135 0
1 1 2 0 1141 0
1 1 2 0 1139 0
1 1 2 0 1142 0
1 1 2 0 1144 0
1 1 2 0 1149 0
1 1 2 0 1151 0
1 1 2 0 1149 0
1 1 2 0 1173 0
1 1 2 0 1135 0
1 1 2 0 1134 0
1 1 2 0 1159 0
1 1 2 0 1137 0
1 1 2 0 1136 0
1 1 2 0 1135 0
1 1 2 0 1164 0
1 1 2 0 1163 0
1 1 2 0 1162 0
1 1 2 0 1158 0
1 1 2 0 1167 0
1 1 2 0 1179 0
1 1 2 0 1160 0
1 1 2 0 1145 0
1 1 2 0 1156 0
1 1 2 0 1153 0
1 1 2 0 1168 0
1 1 2 0 1156 0
1 1 2 0 1157 0
1 1 2 0 1138 0
1 1 2 0 1111 0
1 1 2 0 1098 0
1 1 2 0 1146 0
1 1 2 0 1113 0
1 1 2 0 1135 0
1 1 2 0 1093 0
1 1 2 0 1106 0
1 1 2 0 1076 0
1 1 2 0 1104 0
1 1 2 0 1078 0
1 1 2 0 1086 0
1 1 2 0 1097 0
1 1 2 0 1117 0
1 1 2 0 1138 0
1 1 2 0 1115 0
1 1 2 0 1140 0
1 1 2 0 1124 0
1 1 2 0 1141 0
1 1 2 0 1137 0
1 1 2 0 1159 0
1 1 2 0 1150 0
1 1 2 0 1127 0
1 1 2 0 1131 0
1 1 2 0 1100 0
1 1 2 0 1112 0
1 1 2 0 1154 0
1 1 2 0 1139 0
1 1 2 0 1178 0
1 1 2 0 1188 0
1 1 2 0 1190 0
1 1 2 0 1211 0
1 1 2 0 1186 0
1 1 2 0 1171 0
1 1 2 0 1162 0
1 1 2 0 1157 0
1 1 2 0 1118 0
1 1 2 0 1110 0
1 1 2 0 1095 0
1 1 2 0 1070 0
1 1 2 0 1116 0
1 1 2 0 1106 0
1 1 2 0 1150 0
1 1 2 0 1134 0
1 1 2 0 1118 0
1 1 2 0 1107 0
1 1 2 0 1087 0
1 1 2 0 1109 0
1 1 2 0 1138 0
1 1 2 0 1128 0
1 1 2 0 1111 0
1 1 2 0 1141 0
1 1 2 0 1182 0
1 1 2 0 1141 0
1 1 2 0 1162 0
1 1 2 0 1153 0
1 1 2 0 1133 0
1 1 2 0 1124 0
1 1 2 0 1094 0
1 1 2 0 1087 0
1 1 2 0 1118 0
1 1 2 0 1117 0
1 1 2 0 1108 0
1 1 2 0 1102 0
1 1 2 0 1153 0
1 1 2 0 1110 0
1 1 2 0 1098 0
1 1 2 0 1117 0
1 1 2 0 1061 0
1 1 2 0 1082 0
1 1 2 0 1114 0
1 1 2 0 1112 0
1 1 2 0 1103 0
1 1 2 0 1123 0
1 1 2 0 1116 0
1 1 2 0 1122 0
1 1 2 0 1103 0
1 1 2 0 1090 0
1 1 2 0 1101 0
1 1 2 0 1092 0
1 1 2 0 1101 0
1 1 2 0 1088 0
1 1 2 0 1072 0
1 1 2 0 1070 0
1 1 2 0 1076 0
1 1 2 0 1087 0
1 1 2 0 1087 0
1 1 2 0 1118 0
1 1 2 0 1109 0
1 1 2 0 1145 0
1 1 2 0 1147 0
1 1 2 0 1136 0
1 1 2 0 1152 0
1 1 2 0 1131 0
1 1 2 0 1148 0
1 1 2 0 1131 0
1 1 2 0 1147 0
1 1 2 0 1112 0
1 1 2 0 1129 0
1 1 2 0 1114 0
1 1 2 0 1140 0
1 1 2 0 1148 0
1 1 2 0 1159 0
1 1 2 0 1168 0
1 1 2 0 1156 0
1 1 2 0 1121 0
1 1 2 0 1153 0
1 1 2 0 1147 0
1 1 2 0 1117 0
1 1 2 0 1128 0
1 1 2 0 1113 0
1 1 2 0 1104 0
1 1 2 0 1089 0
1 1 2 0 1123 0
1 1 2 0 1119 0
1 1 2 0 1106 0
1 1 2 0 1117 0
1 1 2 0 1169 0
1 1 2 0 1149 0
1 1 2 0 1125 0
1 1 2 0 1119 0
1 1 2 0 1113 0
1 1 2 0 1093 0
1 1 2 0 1110 0
1 1 2 0 1121 0
1 1 2 0 1115 0
1 1 2 0 1120 0
1 1 2 0 1114 0
1 1 2 0 1121 0
1 1 2 0 1120 0
1 1 2 0 1113 0
1 1 2 0 1088 0
1 1 2 0 1091 0
1 1 2 0 1084 0
1 1 2 0 1084 0
1 1 2 0 1086 0
1 1 2 0 1103 0
1 1 2 0 1091 0
1 1 2 0 1106 0
1 1 2 0 1103 0
1 1 2 0 1119 0
1 1 2 0 1115 0
1 1 2 0 1109 0
1 1 2 0 1138 0
1 1 2 0 1151 0
1 1 2 0 1159 0
1 1 2 0 1167 0
1 1 2 0 1209 0
1 1 2 0 1235 0
1 1 2 0 1238 0
1 1 2 0 1218 0
1 1 2 0 1224 0
1 1 2 0 1211 0
1 1 2 0 1211 0
1 1 2 0 1211 0
1 1 2 0 1215 0
1 1 2 0 1191 0
1 1 2 0 1186 0
1 1 2 0 1165 0
1 1 2 0 1156 0
1 1 2 0 1140 0
1 1 2 0 1143 0
1 1 2 0 1159 0
1 1 2 0 1178 0
1 1 2 0 1168 0
1 1 2 0 1148 0
1 1 2 0 1149 0
1 1 2 0 1156 0
1 1 2 0 1164 0
1 1 2 0 1150 0
1 1 2 0 1166 0
1 1 2 0 1168 0
1 1 2 0 1172 0
1 1 2 0 1144 0
1 1 2 0 1136 0
1 1 2 0 1156 0
1 1 2 0 1131 0
1 1 2 0 1143 0
1 1 2 0 1143 0
1 1 2 0 1161 0
1 1 2 0 1147 0
1 1 2 0 1378 0
1 1 2 0 1561 0
1 1 2 0 1684 0
1 1 2 0 1730 0
1 1 2 0 1763 0
1 1 2 0 1673 0
1 1 2 0 1638 0
1 1 2 0 1606 0
1 1 2 0 1613 0
1 1 2 0 1615 0
1 1 2 0 1626 0
1 1 2 0 1625 0
1 1 2 0 1623 0
1 1 2 0 1619 0
1 1 2 0 1636 0
1 1 2 0 1628 0
1 1 2 0 1590 0
1 1 2 0 1642 0
1 1 2 0 1656 0
1 1 2 0 1657 0
1 1 2 0 1625 0
1 1 2 0 1610 0
1 1 2 0 1629 0
1 1 2 0 1629 0
1 1 2 0 1631 0
1 1 2 0 1591 0
1 1 2 0 1619 0
1 1 2 0 1582 0
1 1 2 0 1602 0
1 1 2 0 1631 0
1 1 2 0 1610 0
1 1 2 0 1608 0
1 1 2 0 1611 0
1 1 2 0 1669 0
1 1 2 0 1672 0
1 1 2 0 1650 0
1 1 2 0 1701 0
1 1 2 0 1699 0
1 1 2 0 1678 0
1 1 2 0 1689 0
1 1 2 0 1801 0
1 1 2 0 1795 0
1 1 2 0 1838 0
1 1 2 0 1888 0
1 1 2 0 1792 0
1 1 2 0 1828 0
1 1 2 0 1784 0
1 1 2 0 1703 0
1 1 2 0 1701 0
1 1 2 0 1629 0
1 1 2 0 1636 0
1 1 2 0 1632 0
1 1 2 0 1722 0
1 1 2 0 1787 0
1 1 2 0 1846 0
1 1 2 0 1859 0
1 1 2 0 1810 0
1 1 2 0 1677 0
1 1 2 0 1493 0
1 1 2 0 1285 0
1 1 2 0 1154 0
1 1 2 0 1038 0
1 1 2 0 929 0
1 1 2 0 894 0
1 1 2 0 870 0
1 1 2 0 922 0
1 1 2 0 980 0
1 1 2 0 1021 0
1 1 2 0 1052 0
1 1 2 0 1058 0
1 1 2 0 1074 0
1 1 3 0 1058 -572
1 1 3 0 908 -572
1 1 3 0 734 -572
1 1 3 0 527 -572
1 1 3 0 325 -572
1 1 3 0 144 -572
1 1 3 0 195 -572
1 1 3 0 149 -572
1 1 3 0 140 -572
1 1 3 0 143 -572
1 1 3 0 141 -572
1 1 3 0 142 -572
1 1 3 0 141 -572
1 1 3 0 137 -572
1 1 3 0 140 -572
1 1 3 0 141 -572
1 1 3 0 143 -572
1 1 3 0 139 -572
1 1 3 0 140 -572
1 1 3 0 138 -572
1 1 3 0 141 -572
1 1 3 0 142 -572
1 1 3 0 142 -572
0 0 0 0 138 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 138 0
0 0 0 0 143 0
0 0 0 0 138 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 140 0
0 0 0 0 139 0
