飞行实验日记
任务：关闭遥控器，测试our_mission_updown_repeat() ; our_landing();
设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 12000 
现象：one_one_key_takeoff();任务成功，飞机起飞过程中飘逸严重。 飞机迅速上升至1.3m，产生超调，然后缓慢稳定在1m左右。 
50s后续进入our_mission(); 响应正常，飞机上下移动，2分钟(120s)后降落。飞机在较高高度时不稳定，推测原因是光流模块在高度较高时判断不准确。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
1 1 2 0 1273 0
1 1 2 0 1281 0
1 1 2 0 1261 0
1 1 2 0 1309 0
1 1 2 0 1290 0
1 1 2 0 1338 0
1 1 2 0 1354 0
1 1 2 0 1355 0
1 1 2 0 1405 0
1 1 2 0 1393 0
1 1 2 0 1421 0
1 1 2 0 1485 0
1 1 2 0 1454 0
1 1 2 0 1478 0
1 1 2 0 1491 0
1 1 2 0 1498 0
1 1 2 0 1486 0
1 1 2 0 1465 0
1 1 2 0 1498 0
1 1 2 0 1477 0
1 1 2 0 1446 0
1 1 2 0 1452 0
1 1 2 0 1413 0
1 1 2 0 1457 0
1 1 2 0 1423 0
1 1 2 0 1457 0
1 1 2 0 1451 0
1 1 2 0 1479 0
1 1 2 0 1486 0
1 1 2 0 1507 0
1 1 2 0 1529 0
1 1 2 0 1494 0
1 1 2 0 1564 0
1 1 2 0 1571 0
1 1 2 0 1540 0
1 1 2 0 1571 0
1 1 2 0 1624 0
1 1 2 0 1600 0
1 1 2 0 1621 0
1 1 2 0 1646 0
1 1 2 0 1670 0
1 1 2 0 1656 0
1 1 2 0 1648 0
1 1 2 0 1638 0
1 1 2 0 1622 0
1 1 2 0 1573 0
1 1 2 0 1636 0
1 1 2 0 1676 0
1 1 2 0 1698 0
1 1 2 0 1707 0
1 1 2 0 1761 0
1 1 2 0 1789 0
1 1 2 0 1843 0
1 1 2 0 1849 0
1 1 2 0 1910 0
1 1 2 0 1903 0
1 1 2 0 1963 0
1 1 2 0 1874 0
1 1 2 0 1910 0
1 1 2 0 1884 0
1 1 2 0 1836 0
1 1 2 0 1798 0
1 1 2 0 1735 0
1 1 2 0 1727 0
1 1 2 0 1699 0
1 1 2 0 1685 0
1 1 2 0 1620 0
1 1 2 0 1643 0
1 1 2 0 1586 0
1 1 2 0 1561 0
1 1 2 0 1502 0
1 1 2 0 1466 0
1 1 2 0 1491 0
1 1 2 0 1445 0
1 1 2 0 1392 0
1 1 2 0 1324 0
1 1 2 0 1270 0
1 1 2 0 1211 0
1 1 2 0 1149 0
1 1 2 0 1082 0
1 1 2 0 1035 0
1 1 2 0 948 0
1 1 2 0 882 0
1 1 2 0 836 0
1 1 2 0 812 0
1 1 2 0 822 0
1 1 2 0 840 0
1 1 2 0 878 0
1 1 2 0 925 0
1 1 2 0 939 0
1 1 2 0 968 0
1 1 2 0 1001 0
1 1 2 0 1038 0
1 1 2 0 1054 0
1 1 2 0 1082 0
1 1 2 0 1060 0
1 1 2 0 1087 0
1 1 2 0 1077 0
1 1 2 0 1072 0
1 1 2 0 1083 0
1 1 2 0 1084 0
1 1 2 0 1088 0
1 1 2 0 1068 0
1 1 2 0 1076 0
1 1 2 0 1062 0
1 1 2 0 1060 0
1 1 2 0 1082 0
1 1 2 0 1111 0
1 1 2 0 1094 0
1 1 2 0 1122 0
1 1 2 0 1137 0
1 1 2 0 1170 0
1 1 2 0 1188 0
1 1 2 0 1176 0
1 1 2 0 1177 0
1 1 2 0 1196 0
1 1 2 0 1208 0
1 1 2 0 1205 0
1 1 2 0 1217 0
1 1 2 0 1211 0
1 1 2 0 1262 0
1 1 2 0 1285 0
1 1 2 0 1308 0
1 1 2 0 1311 0
1 1 2 0 1351 0
1 1 2 0 1372 0
1 1 2 0 1372 0
1 1 2 0 1348 0
1 1 2 0 1377 0
1 1 2 0 1386 0
1 1 2 0 1398 0
1 1 2 0 1411 0
1 1 2 0 1389 0
1 1 2 0 1415 0
1 1 2 0 1424 0
1 1 2 0 1406 0
1 1 2 0 1431 0
1 1 2 0 1449 0
1 1 2 0 1450 0
1 1 2 0 1436 0
1 1 2 0 1439 0
1 1 2 0 1418 0
1 1 2 0 1439 0
1 1 2 0 1458 0
1 1 2 0 1482 0
1 1 2 0 1482 0
1 1 2 0 1490 0
1 1 2 0 1511 0
1 1 2 0 1554 0
1 1 2 0 1624 0
1 1 2 0 1583 0
1 1 2 0 1634 0
1 1 2 0 1614 0
1 1 2 0 1610 0
1 1 2 0 1594 0
1 1 2 0 1615 0
1 1 2 0 1560 0
1 1 2 0 1581 0
1 1 2 0 1560 0
1 1 2 0 1566 0
1 1 2 0 1601 0
1 1 2 0 1639 0
1 1 2 0 1684 0
1 1 2 0 1740 0
1 1 2 0 1767 0
1 1 2 0 1770 0
1 1 2 0 1793 0
1 1 2 0 1789 0
1 1 2 0 1847 0
1 1 2 0 1870 0
1 1 2 0 1873 0
1 1 2 0 1880 0
1 1 2 0 1890 0
1 1 2 0 1789 0
1 1 2 0 1838 0
1 1 2 0 1823 0
1 1 2 0 1816 0
1 1 2 0 1738 0
1 1 2 0 1773 0
1 1 2 0 1749 0
1 1 2 0 1680 0
1 1 2 0 1626 0
1 1 2 0 1598 0
1 1 2 0 1591 0
1 1 2 0 1554 0
1 1 2 0 1548 0
1 1 2 0 1566 0
1 1 2 0 1588 0
1 1 2 0 1576 0
1 1 2 0 1584 0
1 1 2 0 1710 0
1 1 2 0 1742 0
1 1 2 0 1749 0
1 1 2 0 1808 0
1 1 2 0 1933 0
1 1 2 0 1924 0
1 1 2 0 1885 0
1 1 2 0 1926 0
1 1 2 0 1939 0
1 1 2 0 1938 0
1 1 2 0 1953 0
1 1 2 0 1944 0
1 1 2 0 1895 0
1 1 2 0 1837 0
1 1 2 0 1860 0
1 1 2 0 1808 0
1 1 2 0 1789 0
1 1 2 0 1776 0
1 1 2 0 1724 0
1 1 2 0 1596 0
1 1 2 0 1622 0
1 1 2 0 1586 0
1 1 2 0 1564 0
1 1 2 0 1520 0
1 1 2 0 1494 0
1 1 2 0 1476 0
1 1 2 0 1411 0
1 1 2 0 1367 0
1 1 2 0 1319 0
1 1 2 0 1276 0
1 1 2 0 1235 0
1 1 2 0 1164 0
1 1 2 0 1103 0
1 1 2 0 1013 0
1 1 2 0 993 0
1 1 2 0 948 0
1 1 2 0 966 0
1 1 2 0 955 0
1 1 2 0 983 0
1 1 2 0 1004 0
1 1 2 0 1017 0
1 1 2 0 1021 0
1 1 2 0 1036 0
1 1 2 0 1045 0
1 1 2 0 1068 0
1 1 2 0 1055 0
1 1 2 0 1050 0
1 1 2 0 1035 0
1 1 2 0 1030 0
1 1 2 0 1039 0
1 1 2 0 1040 0
1 1 2 0 1035 0
1 1 2 0 1044 0
1 1 2 0 1053 0
1 1 3 0 1028 -572
1 1 3 0 914 -572
1 1 3 0 764 -572
1 1 3 0 589 -572
1 1 3 0 431 -572
1 1 3 0 265 -572
1 1 3 0 173 -572
1 1 3 0 175 -572
1 1 3 0 139 -572
1 1 3 0 140 -572
1 1 3 0 138 -572
1 1 3 0 140 -572
1 1 3 0 138 -572
1 1 3 0 138 -572
1 1 3 0 140 -572
1 1 3 0 140 -572
1 1 3 0 139 -572
1 1 3 0 139 -572
1 1 3 0 141 -572
1 1 3 0 139 -572
1 1 3 0 141 -572
1 1 3 0 140 -572
1 1 3 0 139 -572
0 0 0 0 141 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 140 0
0 0 0 0 138 0
