飞行实验日记
1.任务：关闭遥控器，测试our_mission_updown_repeat() ; our_landing();
2.设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 12000 
3.现象：one_one_key_takeoff();任务成功，飞机迅速上升至1.3m，产生超调，缓慢稳定在1m左右。 
50s后续进入our_mission(); 响应正常，飞机上下移动，2分钟(120s)后降落。飞机在较高高度时不稳定，抖振严重，推测原因是光流模块在高度较高时判断不准确。
飞机高于1.5m时非常不稳定。
4.issue： 飞机起飞过程漂移，推测原因是飞机负载不均，前重后轻；或者飞机M3 M4因为其他原因转速大于M1 M3。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
1 1 2 0 1387 0
1 1 2 0 1421 0
1 1 2 0 1422 0
1 1 2 0 1427 0
1 1 2 0 1416 0
1 1 2 0 1389 0
1 1 2 0 1426 0
1 1 2 0 1437 0
1 1 2 0 1428 0
1 1 2 0 1439 0
1 1 2 0 1454 0
1 1 2 0 1447 0
1 1 2 0 1453 0
1 1 2 0 1443 0
1 1 2 0 1492 0
1 1 2 0 1488 0
1 1 2 0 1492 0
1 1 2 0 1518 0
1 1 2 0 1565 0
1 1 2 0 1562 0
1 1 2 0 1568 0
1 1 2 0 1622 0
1 1 2 0 1706 0
1 1 2 0 1815 0
1 1 2 0 1824 0
1 1 2 0 1840 0
1 1 2 0 1881 0
1 1 2 0 1908 0
1 1 2 0 1868 0
1 1 2 0 1900 0
1 1 2 0 1852 0
1 1 2 0 1827 0
1 1 2 0 1776 0
1 1 2 0 1706 0
1 1 2 0 1701 0
1 1 2 0 1611 0
1 1 2 0 1601 0
1 1 2 0 1547 0
1 1 2 0 1562 0
1 1 2 0 1502 0
1 1 2 0 1479 0
1 1 2 0 1456 0
1 1 2 0 1390 0
1 1 2 0 1365 0
1 1 2 0 1323 0
1 1 2 0 1239 0
1 1 2 0 1171 0
1 1 2 0 1080 0
1 1 2 0 972 0
1 1 2 0 880 0
1 1 2 0 824 0
1 1 2 0 758 0
1 1 2 0 712 0
1 1 2 0 686 0
1 1 2 0 681 0
1 1 2 0 661 0
1 1 2 0 655 0
1 1 2 0 656 0
1 1 2 0 653 0
1 1 2 0 629 0
1 1 2 0 606 0
1 1 2 0 583 0
1 1 2 0 547 0
1 1 2 0 529 0
1 1 2 0 516 0
1 1 2 0 508 0
1 1 2 0 496 0
1 1 2 0 507 0
1 1 2 0 525 0
1 1 2 0 543 0
1 1 2 0 571 0
1 1 2 0 594 0
1 1 2 0 614 0
1 1 2 0 635 0
1 1 2 0 658 0
1 1 2 0 686 0
1 1 2 0 709 0
1 1 2 0 755 0
1 1 2 0 765 0
1 1 2 0 794 0
1 1 2 0 802 0
1 1 2 0 824 0
1 1 2 0 832 0
1 1 2 0 856 0
1 1 2 0 882 0
1 1 2 0 920 0
1 1 2 0 940 0
1 1 2 0 983 0
1 1 2 0 1005 0
1 1 2 0 1020 0
1 1 2 0 1032 0
1 1 2 0 1048 0
1 1 2 0 1053 0
1 1 2 0 1074 0
1 1 2 0 1089 0
1 1 2 0 1112 0
1 1 2 0 1120 0
1 1 2 0 1136 0
1 1 2 0 1147 0
1 1 2 0 1171 0
1 1 2 0 1204 0
1 1 2 0 1230 0
1 1 2 0 1219 0
1 1 2 0 1225 0
1 1 2 0 1253 0
1 1 2 0 1268 0
1 1 2 0 1275 0
1 1 2 0 1238 0
1 1 2 0 1209 0
1 1 2 0 1168 0
1 1 2 0 1132 0
1 1 2 0 1094 0
1 1 2 0 1012 0
1 1 2 0 1006 0
1 1 2 0 972 0
1 1 2 0 950 0
1 1 2 0 908 0
1 1 2 0 887 0
1 1 2 0 858 0
1 1 2 0 826 0
1 1 2 0 795 0
1 1 2 0 781 0
1 1 2 0 750 0
1 1 2 0 742 0
1 1 2 0 721 0
1 1 2 0 707 0
1 1 2 0 707 0
1 1 2 0 740 0
1 1 2 0 756 0
1 1 2 0 775 0
1 1 2 0 787 0
1 1 2 0 776 0
1 1 2 0 790 0
1 1 2 0 797 0
1 1 2 0 791 0
1 1 2 0 816 0
1 1 2 0 798 0
1 1 2 0 812 0
1 1 2 0 808 0
1 1 2 0 809 0
1 1 2 0 823 0
1 1 2 0 829 0
1 1 2 0 813 0
1 1 2 0 825 0
1 1 2 0 846 0
1 1 2 0 845 0
1 1 2 0 863 0
1 1 2 0 890 0
1 1 2 0 883 0
1 1 2 0 927 0
1 1 2 0 928 0
1 1 2 0 960 0
1 1 2 0 976 0
1 1 2 0 967 0
1 1 2 0 975 0
1 1 2 0 968 0
1 1 2 0 970 0
1 1 2 0 970 0
1 1 2 0 964 0
1 1 2 0 996 0
1 1 2 0 1003 0
1 1 2 0 995 0
1 1 2 0 1001 0
1 1 2 0 1016 0
1 1 2 0 1068 0
1 1 2 0 1065 0
1 1 2 0 1099 0
1 1 2 0 1108 0
1 1 2 0 1122 0
1 1 2 0 1110 0
1 1 2 0 1137 0
1 1 2 0 1123 0
1 1 2 0 1100 0
1 1 2 0 1095 0
1 1 2 0 1077 0
1 1 2 0 1098 0
1 1 2 0 1095 0
1 1 2 0 1096 0
1 1 2 0 1095 0
1 1 2 0 1119 0
1 1 2 0 1098 0
1 1 2 0 1112 0
1 1 2 0 1141 0
1 1 2 0 1132 0
1 1 2 0 1151 0
1 1 2 0 1178 0
1 1 2 0 1183 0
1 1 2 0 1204 0
1 1 2 0 1198 0
1 1 2 0 1236 0
1 1 2 0 1253 0
1 1 2 0 1276 0
1 1 2 0 1286 0
1 1 2 0 1251 0
1 1 2 0 1235 0
1 1 2 0 1217 0
1 1 2 0 1201 0
1 1 2 0 1170 0
1 1 2 0 1127 0
1 1 2 0 1112 0
1 1 2 0 1077 0
1 1 2 0 1065 0
1 1 2 0 1027 0
1 1 2 0 992 0
1 1 2 0 988 0
1 1 2 0 959 0
1 1 2 0 942 0
1 1 2 0 1004 0
1 1 2 0 1008 0
1 1 2 0 1018 0
1 1 2 0 1071 0
1 1 2 0 1091 0
1 1 2 0 1091 0
1 1 2 0 1119 0
1 1 2 0 1128 0
1 1 2 0 1135 0
1 1 2 0 1147 0
1 1 2 0 1148 0
1 1 2 0 1186 0
1 1 2 0 1191 0
1 1 2 0 1177 0
1 1 2 0 1189 0
1 1 2 0 1209 0
1 1 2 0 1185 0
1 1 2 0 1203 0
1 1 3 0 1194 -572
1 1 3 0 1079 -572
1 1 3 0 913 -572
1 1 3 0 765 -572
1 1 3 0 632 -572
1 1 3 0 474 -572
1 1 3 0 344 -572
1 1 3 0 251 -572
1 1 3 0 171 -572
1 1 3 0 168 -572
1 1 3 0 158 -572
1 1 3 0 140 -572
1 1 3 0 139 -572
1 1 3 0 137 -572
1 1 3 0 135 -572
1 1 3 0 137 -572
1 1 3 0 136 -572
1 1 3 0 137 -572
1 1 3 0 137 -572
1 1 3 0 136 -572
1 1 3 0 137 -572
1 1 3 0 139 -572
1 1 3 0 136 -572
1 1 3 0 137 -572
1 1 3 0 136 -572
1 1 3 0 139 -572
1 1 3 0 134 -572
1 1 3 0 134 -572
0 0 0 0 135 0
0 0 0 0 133 0
0 0 0 0 135 0
0 0 0 0 135 0
0 0 0 0 137 0
0 0 0 0 136 0
0 0 0 0 136 0
