飞行实验日记
1.任务：关闭遥控器，测试our_take_off(); our_mission_height_control(); our_landing();
2.设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 18000 
3.现象： 起飞失败，飞机翻转。
4.issue： M2电机初始化失败 原因未知，推测原因使用了其他电池，下次实验换回原电池，准备更换4个电机。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
0 0 0 0 138 0
0 0 0 0 138 0
0 0 0 0 140 0
0 0 0 0 138 0
0 0 0 0 139 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 139 0
0 0 0 0 140 0
0 0 0 0 138 0
0 0 0 0 141 0
0 0 0 0 137 0
0 0 0 0 139 0
0 0 0 0 142 0
0 0 0 0 141 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 136 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 138 0
0 0 0 0 138 0
0 0 0 0 141 0
0 0 0 0 138 0
0 0 0 0 137 0
0 0 0 0 137 0
0 0 0 0 138 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 137 0
0 0 0 0 139 0
0 0 0 0 137 0
1 0 0 241 139 0
1 0 0 235 139 0
1 0 0 229 139 0
1 0 0 223 137 0
1 0 0 217 136 0
1 0 0 211 138 0
1 1 2 0 135 0
1 1 2 0 139 0
1 1 2 0 138 0
1 1 2 0 139 0
1 1 2 0 138 0
1 1 2 0 142 0
1 1 2 0 137 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 137 0
1 1 2 0 137 0
1 1 2 0 140 0
1 1 2 0 136 0
1 1 2 0 139 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 137 0
1 1 2 0 138 0
1 1 2 0 141 0
1 1 2 0 136 0
1 1 2 0 139 0
1 1 2 0 139 0
1 1 2 0 141 0
1 1 2 0 139 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 148 0
1 1 2 0 151 0
1 1 2 0 167 0
1 1 2 0 197 0
1 1 2 0 266 0
1 1 2 0 418 0
1 1 2 0 427 0
1 1 2 0 552 0
1 1 2 0 467 0
1 1 2 0 412 0
1 1 2 0 381 0
1 1 2 0 326 0
1 1 2 0 349 0
1 1 2 0 413 0
0 0 0 0 309 0
0 0 0 0 313 0
0 0 0 0 311 0
0 0 0 0 314 0
0 0 0 0 313 0
0 0 0 0 317 0
0 0 0 0 314 0
0 0 0 0 312 0
0 0 0 0 315 0
0 0 0 0 317 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 310 0
0 0 0 0 309 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 309 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 308 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 311 0
0 0 0 0 313 0
0 0 0 0 313 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 307 0
0 0 0 0 309 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 311 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 311 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 316 0
0 0 0 0 314 0
102 102 102 0 314 0
33 62 73 0 314 0
0 0 0 0 309 0
0 0 0 0 313 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 312 0
0 0 0 0 308 0
0 0 0 0 313 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 312 0
0 0 0 0 317 0
0 0 1 55 0 0
102 102 102 55 0 0
33 62 73 55 0 0
0 0 0 0 317 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 312 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 305 0
102 102 102 0 0 0
33 62 73 0 0 0
0 0 0 0 313 0
102 102 102 0 0 0
0 0 0 0 307 0
33 62 73 0 307 0
33 62 73 0 0 0
