飞行实验日记
任务：开启遥控器，测试our_mission() ; our_landing();
设定值：DY_Parame.set.auto_take_off_height = 100; our_delay_times[0] = 18000 
现象：one_one_key_takeoff();任务成功，原因将dy_height = 30;取消注释，飞机迅速上升至1.2m，产生超调，缓慢稳定在1m左右。 
后续进入our_mission(); 响应正常，飞机上下移动，3分钟(180s)后降落。飞机在较高高度时不稳定，推测原因是光流模块在高度较高时判断不准确。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
1 1 2 0 1145 0
1 1 2 0 1137 0
1 1 2 0 1148 0
1 1 2 0 1150 0
1 1 2 0 1159 0
1 1 2 0 1166 0
1 1 2 0 1166 0
1 1 2 0 1167 0
1 1 2 0 1185 0
1 1 2 0 1173 0
1 1 2 0 1219 0
1 1 2 0 1227 0
1 1 2 0 1257 0
1 1 2 0 1295 0
1 1 2 0 1310 0
1 1 2 0 1321 0
1 1 2 0 1340 0
1 1 2 0 1347 0
1 1 2 0 1360 0
1 1 2 0 1381 0
1 1 2 0 1412 0
1 1 2 0 1437 0
1 1 2 0 1409 0
1 1 2 0 1454 0
1 1 2 0 1478 0
1 1 2 0 1463 0
1 1 2 0 1515 0
1 1 2 0 1490 0
1 1 2 0 1502 0
1 1 2 0 1474 0
1 1 2 0 1501 0
1 1 2 0 1522 0
1 1 2 0 1519 0
1 1 2 0 1498 0
1 1 2 0 1502 0
1 1 2 0 1564 0
1 1 2 0 1587 0
1 1 2 0 1580 0
1 1 2 0 1620 0
1 1 2 0 1612 0
1 1 2 0 1629 0
1 1 2 0 1594 0
1 1 2 0 1635 0
1 1 2 0 1542 0
1 1 2 0 1503 0
1 1 2 0 1460 0
1 1 2 0 1456 0
1 1 2 0 1422 0
1 1 2 0 1346 0
1 1 2 0 1344 0
1 1 2 0 1337 0
1 1 2 0 1361 0
1 1 2 0 1393 0
1 1 2 0 1408 0
1 1 2 0 1450 0
1 1 2 0 1466 0
1 1 2 0 1485 0
1 1 2 0 1485 0
1 1 2 0 1562 0
1 1 2 0 1592 0
1 1 2 0 1565 0
1 1 2 0 1589 0
1 1 2 0 1628 0
1 1 2 0 1657 0
1 1 2 0 1615 0
1 1 2 0 1639 0
1 1 2 0 1642 0
1 1 2 0 1622 0
1 1 2 0 1598 0
1 1 2 0 1572 0
1 1 2 0 1591 0
1 1 2 0 1575 0
1 1 2 0 1627 0
1 1 2 0 1635 0
1 1 2 0 1696 0
1 1 2 0 1622 0
1 1 2 0 1617 0
1 1 2 0 1636 0
1 1 2 0 1586 0
1 1 2 0 1567 0
1 1 2 0 1561 0
1 1 2 0 1571 0
1 1 2 0 1486 0
1 1 2 0 1497 0
1 1 2 0 1495 0
1 1 2 0 1503 0
1 1 2 0 1461 0
1 1 2 0 1479 0
1 1 2 0 1492 0
1 1 2 0 1494 0
1 1 2 0 1532 0
1 1 2 0 1526 0
1 1 2 0 1577 0
1 1 2 0 1577 0
1 1 2 0 1648 0
1 1 2 0 1626 0
1 1 2 0 1712 0
1 1 2 0 1665 0
1 1 2 0 1690 0
1 1 2 0 1697 0
1 1 2 0 1690 0
1 1 2 0 1644 0
1 1 2 0 1647 0
1 1 2 0 1647 0
1 1 2 0 1656 0
1 1 2 0 1639 0
1 1 2 0 1607 0
1 1 2 0 1588 0
1 1 2 0 1598 0
1 1 2 0 1647 0
1 1 2 0 1613 0
1 1 2 0 1588 0
1 1 2 0 1548 0
1 1 2 0 1505 0
1 1 2 0 1511 0
1 1 2 0 1445 0
1 1 2 0 1482 0
1 1 2 0 1454 0
1 1 2 0 1407 0
1 1 2 0 1372 0
1 1 2 0 1365 0
1 1 2 0 1366 0
1 1 2 0 1363 0
1 1 2 0 1356 0
1 1 2 0 1335 0
1 1 2 0 1354 0
1 1 2 0 1334 0
1 1 2 0 1356 0
1 1 2 0 1320 0
1 1 2 0 1313 0
1 1 2 0 1307 0
1 1 2 0 1313 0
1 1 2 0 1390 0
1 1 2 0 1411 0
1 1 2 0 1391 0
1 1 2 0 1473 0
1 1 2 0 1501 0
1 1 2 0 1502 0
1 1 2 0 1519 0
1 1 2 0 1512 0
1 1 2 0 1481 0
1 1 2 0 1500 0
1 1 2 0 1469 0
1 1 2 0 1441 0
1 1 2 0 1405 0
1 1 2 0 1412 0
1 1 2 0 1378 0
1 1 2 0 1341 0
1 1 2 0 1340 0
1 1 2 0 1313 0
1 1 2 0 1326 0
1 1 2 0 1399 0
1 1 2 0 1389 0
1 1 2 0 1401 0
1 1 2 0 1451 0
1 1 2 0 1494 0
1 1 2 0 1500 0
1 1 2 0 1545 0
1 1 2 0 1542 0
1 1 2 0 1540 0
1 1 2 0 1501 0
1 1 2 0 1508 0
1 1 2 0 1448 0
1 1 2 0 1417 0
1 1 2 0 1460 0
1 1 2 0 1471 0
1 1 2 0 1445 0
1 1 2 0 1467 0
1 1 2 0 1418 0
1 1 2 0 1397 0
1 1 2 0 1427 0
1 1 2 0 1458 0
1 1 2 0 1466 0
1 1 2 0 1504 0
1 1 2 0 1505 0
1 1 2 0 1508 0
1 1 2 0 1550 0
1 1 2 0 1470 0
1 1 2 0 1471 0
1 1 2 0 1448 0
1 1 2 0 1387 0
1 1 2 0 1428 0
1 1 2 0 1405 0
1 1 2 0 1408 0
1 1 2 0 1309 0
1 1 2 0 1327 0
1 1 2 0 1334 0
1 1 2 0 1253 0
1 1 2 0 1286 0
1 1 2 0 1252 0
1 1 2 0 1284 0
1 1 2 0 1297 0
1 1 2 0 1308 0
1 1 2 0 1317 0
1 1 2 0 1341 0
1 1 2 0 1362 0
1 1 2 0 1330 0
1 1 2 0 1368 0
1 1 2 0 1368 0
1 1 2 0 1372 0
1 1 2 0 1347 0
1 1 2 0 1371 0
1 1 2 0 1372 0
1 1 2 0 1357 0
1 1 2 0 1354 0
1 1 2 0 1343 0
1 1 2 0 1372 0
1 1 2 0 1380 0
1 1 2 0 1342 0
1 1 2 0 1351 0
1 1 2 0 1379 0
1 1 2 0 1386 0
1 1 2 0 1400 0
1 1 2 0 1374 0
1 1 2 0 1391 0
1 1 2 0 1338 0
1 1 2 0 1323 0
1 1 2 0 1293 0
1 1 2 0 1244 0
1 1 2 0 1227 0
1 1 2 0 1234 0
1 1 2 0 1217 0
1 1 2 0 1204 0
1 1 2 0 1166 0
1 1 2 0 1195 0
1 1 2 0 1192 0
1 1 2 0 1159 0
1 1 2 0 1143 0
1 1 2 0 1120 0
1 1 2 0 1118 0
1 1 2 0 1140 0
1 1 2 0 1174 0
1 1 2 0 1192 0
1 1 2 0 1240 0
1 1 2 0 1217 0
1 1 2 0 1266 0
1 1 2 0 1286 0
1 1 2 0 1326 0
1 1 2 0 1339 0
1 1 2 0 1353 0
1 1 2 0 1382 0
1 1 2 0 1416 0
1 1 2 0 1423 0
1 1 2 0 1424 0
1 1 2 0 1434 0
1 1 2 0 1471 0
1 1 2 0 1519 0
1 1 2 0 1484 0
1 1 2 0 1511 0
1 1 2 0 1495 0
1 1 2 0 1479 0
1 1 2 0 1512 0
1 1 2 0 1457 0
1 1 2 0 1485 0
1 1 2 0 1464 0
1 1 2 0 1451 0
1 1 2 0 1412 0
1 1 2 0 1450 0
1 1 2 0 1401 0
1 1 2 0 1336 0
1 1 2 0 1383 0
1 1 2 0 1386 0
1 1 2 0 1355 0
1 1 2 0 1329 0
1 1 2 0 1328 0
1 1 2 0 1305 0
1 1 2 0 1308 0
1 1 2 0 1277 0
1 1 2 0 1266 0
1 1 2 0 1257 0
1 1 2 0 1277 0
1 1 2 0 1327 0
1 1 2 0 1369 0
1 1 2 0 1380 0
1 1 2 0 1401 0
1 1 2 0 1410 0
1 1 2 0 1440 0
1 1 2 0 1457 0
1 1 2 0 1482 0
1 1 2 0 1470 0
1 1 2 0 1509 0
1 1 2 0 1466 0
1 1 2 0 1443 0
1 1 2 0 1435 0
1 1 2 0 1397 0
1 1 2 0 1365 0
1 1 2 0 1368 0
1 1 2 0 1330 0
1 1 2 0 1274 0
1 1 2 0 1248 0
1 1 2 0 1286 0
1 1 2 0 1325 0
1 1 2 0 1315 0
1 1 2 0 1358 0
1 1 2 0 1403 0
1 1 2 0 1395 0
1 1 2 0 1462 0
1 1 2 0 1481 0
1 1 2 0 1463 0
1 1 2 0 1493 0
1 1 2 0 1449 0
1 1 2 0 1459 0
1 1 2 0 1405 0
1 1 2 0 1374 0
1 1 2 0 1346 0
1 1 2 0 1316 0
1 1 2 0 1299 0
1 1 2 0 1287 0
1 1 2 0 1237 0
1 1 2 0 1255 0
1 1 2 0 1255 0
1 1 2 0 1305 0
1 1 2 0 1309 0
1 1 2 0 1379 0
1 1 2 0 1402 0
1 1 2 0 1425 0
1 1 2 0 1447 0
1 1 2 0 1480 0
1 1 2 0 1456 0
1 1 2 0 1465 0
1 1 2 0 1417 0
1 1 2 0 1406 0
1 1 2 0 1366 0
1 1 2 0 1307 0
1 1 2 0 1289 0
1 1 2 0 1274 0
1 1 2 0 1262 0
1 1 2 0 1267 0
1 1 2 0 1239 0
1 1 2 0 1227 0
1 1 2 0 1220 0
1 1 2 0 1269 0
1 1 2 0 1263 0
1 1 2 0 1268 0
1 1 2 0 1332 0
1 1 2 0 1341 0
1 1 2 0 1346 0
1 1 2 0 1350 0
1 1 2 0 1389 0
